"","GeneID","PATH","Annot"
"142","ACTB","04670","Leukocyte transendothelial migration"
"143","ACTB","04810","Regulation of actin cytoskeleton"
"144","ACTB","04971","Gastric acid secretion"
"145","ACTB","05100","Bacterial invasion of epithelial cells"
"146","ACTB","05110","Vibrio cholerae infection"
"147","ACTB","05130","Pathogenic Escherichia coli infection"
"148","ACTB","05131","Shigellosis"
"149","ACTB","05410","Hypertrophic cardiomyopathy"
"150","ACTB","05412","Arrhythmogenic right ventricular cardiomyopathy"
"151","ACTB","05414","Dilated cardiomyopathy"
"152","ACTB","05416","Viral myocarditis"
"160","ACTC1","04260","Cardiac muscle contraction"
"161","ACTC1","05410","Hypertrophic cardiomyopathy"
"162","ACTC1","05414","Dilated cardiomyopathy"
"163","ACTG1","04145","Phagosome"
"164","ACTG1","04510","Focal adhesion"
"165","ACTG1","04520","Adherens junction"
"166","ACTG1","04530","Tight junction"
"167","ACTG1","04670","Leukocyte transendothelial migration"
"168","ACTG1","04810","Regulation of actin cytoskeleton"
"169","ACTG1","05100","Bacterial invasion of epithelial cells"
"170","ACTG1","05110","Vibrio cholerae infection"
"171","ACTG1","05130","Pathogenic Escherichia coli infection"
"172","ACTG1","05131","Shigellosis"
"173","ACTG1","05410","Hypertrophic cardiomyopathy"
"174","ACTG1","05412","Arrhythmogenic right ventricular cardiomyopathy"
"175","ACTG1","05414","Dilated cardiomyopathy"
"176","ACTG1","05416","Viral myocarditis"
"177","ACTG2","04270","Vascular smooth muscle contraction"
"184","ACTN4","04510","Focal adhesion"
"185","ACTN4","04520","Adherens junction"
"186","ACTN4","04530","Tight junction"
"187","ACTN4","04670","Leukocyte transendothelial migration"
"188","ACTN4","04810","Regulation of actin cytoskeleton"
"189","ACTN4","05146","Amoebiasis"
"190","ACTN4","05322","Systemic lupus erythematosus"
"191","ACTN4","05412","Arrhythmogenic right ventricular cardiomyopathy"
"195","ACTN1","04510","Focal adhesion"
"196","ACTN1","04520","Adherens junction"
"197","ACTN1","04530","Tight junction"
"198","ACTN1","04670","Leukocyte transendothelial migration"
"199","ACTN1","04810","Regulation of actin cytoskeleton"
"200","ACTN1","05146","Amoebiasis"
"201","ACTN1","05322","Systemic lupus erythematosus"
"202","ACTN1","05412","Arrhythmogenic right ventricular cardiomyopathy"
"203","ACTN2","04510","Focal adhesion"
"204","ACTN2","04520","Adherens junction"
"205","ACTN2","04530","Tight junction"
"206","ACTN2","04670","Leukocyte transendothelial migration"
"207","ACTN2","04810","Regulation of actin cytoskeleton"
"208","ACTN2","05146","Amoebiasis"
"209","ACTN2","05322","Systemic lupus erythematosus"
"210","ACTN2","05412","Arrhythmogenic right ventricular cardiomyopathy"
"211","ACTN3","04510","Focal adhesion"
"212","ACTN3","04520","Adherens junction"
"213","ACTN3","04530","Tight junction"
"214","ACTN3","04670","Leukocyte transendothelial migration"
"215","ACTN3","04810","Regulation of actin cytoskeleton"
"216","ACTN3","05146","Amoebiasis"
"217","ACTN3","05322","Systemic lupus erythematosus"
"218","ACTN3","05412","Arrhythmogenic right ventricular cardiomyopathy"
"219","ACVR1","04060","Cytokine-cytokine receptor interaction"
"220","ACVR1","04350","TGF-beta signaling pathway"
"221","ACVR1B","04060","Cytokine-cytokine receptor interaction"
"222","ACVR2A","04060","Cytokine-cytokine receptor interaction"
"223","ACVR2A","04350","TGF-beta signaling pathway"
"224","ACVR2B","04060","Cytokine-cytokine receptor interaction"
"225","ACVR2B","04350","TGF-beta signaling pathway"
"227","ACY1","00330","Arginine and proline metabolism"
"228","ACY1","01100","Metabolic pathways"
"229","ACYP1","00620","Pyruvate metabolism"
"230","ACYP2","00620","Pyruvate metabolism"
"231","ADA","00230","Purine metabolism"
"232","ADA","01100","Metabolic pathways"
"233","ADA","05340","Primary immunodeficiency"
"235","ADAM10","05010","Alzheimer disease"
"236","ADAM10","05120","Epithelial cell signaling in Helicobacter pylori infection"
"237","ADAR","04623","Cytosolic DNA-sensing pathway"
"241","ADCY1","00230","Purine metabolism"
"242","ADCY1","04020","Calcium signaling pathway"
"243","ADCY1","04062","Chemokine signaling pathway"
"244","ADCY1","04114","Oocyte meiosis"
"245","ADCY1","04270","Vascular smooth muscle contraction"
"246","ADCY1","04540","Gap junction"
"247","ADCY1","04720","Long-term potentiation"
"248","ADCY1","04912","GnRH signaling pathway"
"249","ADCY1","04914","Progesterone-mediated oocyte maturation"
"250","ADCY1","04916","Melanogenesis"
"251","ADCY1","04970","Salivary secretion"
"252","ADCY1","04971","Gastric acid secretion"
"253","ADCY1","04972","Pancreatic secretion"
"254","ADCY1","04976","Bile secretion"
"255","ADCY1","05142","Chagas disease"
"256","ADCY1","05146","Amoebiasis"
"257","ADCY1","05414","Dilated cardiomyopathy"
"258","ADCY2","00230","Purine metabolism"
"259","ADCY2","04020","Calcium signaling pathway"
"260","ADCY2","04062","Chemokine signaling pathway"
"261","ADCY2","04114","Oocyte meiosis"
"262","ADCY2","04270","Vascular smooth muscle contraction"
"263","ADCY2","04540","Gap junction"
"264","ADCY2","04912","GnRH signaling pathway"
"265","ADCY2","04914","Progesterone-mediated oocyte maturation"
"266","ADCY2","04916","Melanogenesis"
"267","ADCY2","04970","Salivary secretion"
"268","ADCY2","04971","Gastric acid secretion"
"269","ADCY2","04972","Pancreatic secretion"
"270","ADCY2","04976","Bile secretion"
"271","ADCY2","05414","Dilated cardiomyopathy"
"272","ADCY3","00230","Purine metabolism"
"273","ADCY3","04020","Calcium signaling pathway"
"274","ADCY3","04062","Chemokine signaling pathway"
"275","ADCY3","04114","Oocyte meiosis"
"276","ADCY3","04270","Vascular smooth muscle contraction"
"277","ADCY3","04540","Gap junction"
"278","ADCY3","04740","Olfactory transduction"
"279","ADCY3","04912","GnRH signaling pathway"
"280","ADCY3","04914","Progesterone-mediated oocyte maturation"
"281","ADCY3","04916","Melanogenesis"
"282","ADCY3","04962","Vasopressin-regulated water reabsorption"
"283","ADCY3","04970","Salivary secretion"
"284","ADCY3","04971","Gastric acid secretion"
"285","ADCY3","04972","Pancreatic secretion"
"286","ADCY3","04976","Bile secretion"
"287","ADCY3","05110","Vibrio cholerae infection"
"288","ADCY3","05414","Dilated cardiomyopathy"
"289","ADCY5","00230","Purine metabolism"
"290","ADCY5","04062","Chemokine signaling pathway"
"291","ADCY5","04114","Oocyte meiosis"
"292","ADCY5","04270","Vascular smooth muscle contraction"
"293","ADCY5","04540","Gap junction"
"294","ADCY5","04912","GnRH signaling pathway"
"295","ADCY5","04914","Progesterone-mediated oocyte maturation"
"296","ADCY5","04916","Melanogenesis"
"297","ADCY5","04970","Salivary secretion"
"298","ADCY5","04971","Gastric acid secretion"
"299","ADCY5","04972","Pancreatic secretion"
"300","ADCY5","04976","Bile secretion"
"301","ADCY5","05414","Dilated cardiomyopathy"
"302","ADCY6","00230","Purine metabolism"
"303","ADCY6","04062","Chemokine signaling pathway"
"304","ADCY6","04114","Oocyte meiosis"
"305","ADCY6","04270","Vascular smooth muscle contraction"
"306","ADCY6","04540","Gap junction"
"307","ADCY6","04742","Taste transduction"
"308","ADCY6","04912","GnRH signaling pathway"
"309","ADCY6","04914","Progesterone-mediated oocyte maturation"
"310","ADCY6","04916","Melanogenesis"
"311","ADCY6","04962","Vasopressin-regulated water reabsorption"
"312","ADCY6","04970","Salivary secretion"
"313","ADCY6","04971","Gastric acid secretion"
"314","ADCY6","04972","Pancreatic secretion"
"315","ADCY6","04976","Bile secretion"
"316","ADCY6","05414","Dilated cardiomyopathy"
"317","ADCY7","00230","Purine metabolism"
"318","ADCY7","04020","Calcium signaling pathway"
"319","ADCY7","04062","Chemokine signaling pathway"
"320","ADCY7","04114","Oocyte meiosis"
"321","ADCY7","04270","Vascular smooth muscle contraction"
"322","ADCY7","04540","Gap junction"
"323","ADCY7","04912","GnRH signaling pathway"
"324","ADCY7","04914","Progesterone-mediated oocyte maturation"
"325","ADCY7","04916","Melanogenesis"
"326","ADCY7","04970","Salivary secretion"
"327","ADCY7","04971","Gastric acid secretion"
"328","ADCY7","04972","Pancreatic secretion"
"329","ADCY7","04976","Bile secretion"
"330","ADCY7","05414","Dilated cardiomyopathy"
"331","ADCY8","00230","Purine metabolism"
"332","ADCY8","04020","Calcium signaling pathway"
"333","ADCY8","04062","Chemokine signaling pathway"
"334","ADCY8","04114","Oocyte meiosis"
"335","ADCY8","04270","Vascular smooth muscle contraction"
"336","ADCY8","04540","Gap junction"
"337","ADCY8","04720","Long-term potentiation"
"338","ADCY8","04742","Taste transduction"
"339","ADCY8","04912","GnRH signaling pathway"
"340","ADCY8","04914","Progesterone-mediated oocyte maturation"
"341","ADCY8","04916","Melanogenesis"
"342","ADCY8","04970","Salivary secretion"
"343","ADCY8","04971","Gastric acid secretion"
"344","ADCY8","04972","Pancreatic secretion"
"345","ADCY8","04976","Bile secretion"
"346","ADCY8","05414","Dilated cardiomyopathy"
"347","ADCY9","00230","Purine metabolism"
"348","ADCY9","04020","Calcium signaling pathway"
"349","ADCY9","04062","Chemokine signaling pathway"
"350","ADCY9","04114","Oocyte meiosis"
"351","ADCY9","04270","Vascular smooth muscle contraction"
"352","ADCY9","04540","Gap junction"
"353","ADCY9","04912","GnRH signaling pathway"
"354","ADCY9","04914","Progesterone-mediated oocyte maturation"
"355","ADCY9","04916","Melanogenesis"
"356","ADCY9","04962","Vasopressin-regulated water reabsorption"
"357","ADCY9","04970","Salivary secretion"
"358","ADCY9","04971","Gastric acid secretion"
"359","ADCY9","04972","Pancreatic secretion"
"360","ADCY9","04976","Bile secretion"
"361","ADCY9","05110","Vibrio cholerae infection"
"362","ADCY9","05414","Dilated cardiomyopathy"
"364","ADCYAP1R1","04080","Neuroactive ligand-receptor interaction"
"370","ADH1A","00010","Glycolysis / Gluconeogenesis"
"371","ADH1A","00071","Fatty acid degradation"
"372","ADH1A","00350","Tyrosine metabolism"
"373","ADH1A","00830","Retinol metabolism"
"374","ADH1A","00980","Metabolism of xenobiotics by cytochrome P450"
"375","ADH1A","00982","Drug metabolism - cytochrome P450"
"376","ADH1A","01100","Metabolic pathways"
"377","ADH1B","00010","Glycolysis / Gluconeogenesis"
"378","ADH1B","00071","Fatty acid degradation"
"379","ADH1B","00350","Tyrosine metabolism"
"380","ADH1B","00830","Retinol metabolism"
"381","ADH1B","00980","Metabolism of xenobiotics by cytochrome P450"
"382","ADH1B","00982","Drug metabolism - cytochrome P450"
"383","ADH1B","01100","Metabolic pathways"
"384","ADH1C","00010","Glycolysis / Gluconeogenesis"
"385","ADH1C","00071","Fatty acid degradation"
"386","ADH1C","00350","Tyrosine metabolism"
"387","ADH1C","00830","Retinol metabolism"
"388","ADH1C","00980","Metabolism of xenobiotics by cytochrome P450"
"389","ADH1C","00982","Drug metabolism - cytochrome P450"
"390","ADH1C","01100","Metabolic pathways"
"391","ADH4","00010","Glycolysis / Gluconeogenesis"
"392","ADH4","00071","Fatty acid degradation"
"393","ADH4","00350","Tyrosine metabolism"
"394","ADH4","00830","Retinol metabolism"
"395","ADH4","00980","Metabolism of xenobiotics by cytochrome P450"
"396","ADH4","00982","Drug metabolism - cytochrome P450"
"397","ADH4","01100","Metabolic pathways"
"398","ADH5","00010","Glycolysis / Gluconeogenesis"
"399","ADH5","00071","Fatty acid degradation"
"400","ADH5","00350","Tyrosine metabolism"
"401","ADH5","00830","Retinol metabolism"
"402","ADH5","00980","Metabolism of xenobiotics by cytochrome P450"
"403","ADH5","00982","Drug metabolism - cytochrome P450"
"404","ADH5","01100","Metabolic pathways"
"405","ADH6","00010","Glycolysis / Gluconeogenesis"
"406","ADH6","00071","Fatty acid degradation"
"407","ADH6","00350","Tyrosine metabolism"
"408","ADH6","00830","Retinol metabolism"
"409","ADH6","00980","Metabolism of xenobiotics by cytochrome P450"
"410","ADH6","00982","Drug metabolism - cytochrome P450"
"411","ADH6","01100","Metabolic pathways"
"412","ADH7","00010","Glycolysis / Gluconeogenesis"
"413","ADH7","00071","Fatty acid degradation"
"414","ADH7","00350","Tyrosine metabolism"
"415","ADH7","00830","Retinol metabolism"
"416","ADH7","00980","Metabolism of xenobiotics by cytochrome P450"
"417","ADH7","00982","Drug metabolism - cytochrome P450"
"418","ADH7","01100","Metabolic pathways"
"419","ADK","00230","Purine metabolism"
"420","ADK","01100","Metabolic pathways"
"422","ADORA1","04080","Neuroactive ligand-receptor interaction"
"423","ADORA2A","04020","Calcium signaling pathway"
"424","ADORA2A","04080","Neuroactive ligand-receptor interaction"
"425","ADORA2A","04270","Vascular smooth muscle contraction"
"426","ADORA2B","04020","Calcium signaling pathway"
"427","ADORA2B","04080","Neuroactive ligand-receptor interaction"
"428","ADORA2B","04270","Vascular smooth muscle contraction"
"430","ADORA3","04080","Neuroactive ligand-receptor interaction"
"432","PARP1","03410","Base excision repair"
"433","PARP4","03410","Base excision repair"
"436","ADRA1D","04020","Calcium signaling pathway"
"437","ADRA1D","04080","Neuroactive ligand-receptor interaction"
"438","ADRA1D","04270","Vascular smooth muscle contraction"
"439","ADRA1D","04970","Salivary secretion"
"440","ADRA1B","04020","Calcium signaling pathway"
"441","ADRA1B","04080","Neuroactive ligand-receptor interaction"
"442","ADRA1B","04270","Vascular smooth muscle contraction"
"443","ADRA1B","04970","Salivary secretion"
"444","ADRA1A","04020","Calcium signaling pathway"
"445","ADRA1A","04080","Neuroactive ligand-receptor interaction"
"446","ADRA1A","04270","Vascular smooth muscle contraction"
"447","ADRA1A","04970","Salivary secretion"
"448","ADRA2A","04080","Neuroactive ligand-receptor interaction"
"449","ADRA2B","04080","Neuroactive ligand-receptor interaction"
"450","ADRA2C","04080","Neuroactive ligand-receptor interaction"
"451","ADRB1","04020","Calcium signaling pathway"
"452","ADRB1","04080","Neuroactive ligand-receptor interaction"
"453","ADRB1","04144","Endocytosis"
"454","ADRB1","04540","Gap junction"
"455","ADRB1","04970","Salivary secretion"
"456","ADRB1","05414","Dilated cardiomyopathy"
"457","ADRB2","04020","Calcium signaling pathway"
"458","ADRB2","04080","Neuroactive ligand-receptor interaction"
"459","ADRB2","04144","Endocytosis"
"460","ADRB2","04970","Salivary secretion"
"461","ADRB3","04020","Calcium signaling pathway"
"462","ADRB3","04080","Neuroactive ligand-receptor interaction"
"463","ADRB3","04144","Endocytosis"
"464","ADRB3","04970","Salivary secretion"
"465","GRK2","04062","Chemokine signaling pathway"
"466","GRK2","04144","Endocytosis"
"467","GRK3","04062","Chemokine signaling pathway"
"468","GRK3","04144","Endocytosis"
"469","GRK3","04740","Olfactory transduction"
"470","ADSL","00230","Purine metabolism"
"471","ADSL","00250","Alanine, aspartate and glutamate metabolism"
"472","ADSL","01100","Metabolic pathways"
"473","ADSS2","00230","Purine metabolism"
"474","ADSS2","00250","Alanine, aspartate and glutamate metabolism"
"475","ADSS2","01100","Metabolic pathways"
"476","AP2A1","04144","Endocytosis"
"477","AP2A1","05016","Huntington disease"
"478","AP2A2","04144","Endocytosis"
"479","AP2A2","05016","Huntington disease"
"480","AP1B1","04142","Lysosome"
"481","AP2B1","04144","Endocytosis"
"482","AP2B1","05016","Huntington disease"
"483","AP1G1","04142","Lysosome"
"492","AGA","00511","Other glycan degradation"
"493","AGA","04142","Lysosome"
"496","AGL","00500","Starch and sucrose metabolism"
"497","AGL","01100","Metabolic pathways"
"498","AGRP","04920","Adipocytokine signaling pathway"
"499","JAG1","04330","Notch signaling pathway"
"500","AGT","04614","Renin-angiotensin system"
"501","AGTR1","04020","Calcium signaling pathway"
"502","AGTR1","04080","Neuroactive ligand-receptor interaction"
"503","AGTR1","04270","Vascular smooth muscle contraction"
"504","AGTR1","04614","Renin-angiotensin system"
"505","AGTR2","04080","Neuroactive ligand-receptor interaction"
"506","AGTR2","04614","Renin-angiotensin system"
"507","APLNR","04080","Neuroactive ligand-receptor interaction"
"508","AGXT","00250","Alanine, aspartate and glutamate metabolism"
"509","AGXT","00260","Glycine, serine and threonine metabolism"
"510","AGXT","01100","Metabolic pathways"
"511","AGXT","04146","Peroxisome"
"513","AHCY","00270","Cysteine and methionine metabolism"
"514","AHCY","01100","Metabolic pathways"
"521","AK1","00230","Purine metabolism"
"522","AK1","01100","Metabolic pathways"
"523","AK2","00230","Purine metabolism"
"524","AK2","01100","Metabolic pathways"
"525","AK4","00230","Purine metabolism"
"526","AK4","01100","Metabolic pathways"
"528","AKT1","04010","MAPK signaling pathway"
"529","AKT1","04012","ErbB signaling pathway"
"530","AKT1","04062","Chemokine signaling pathway"
"531","AKT1","04150","mTOR signaling pathway"
"532","AKT1","04210","Apoptosis"
"533","AKT1","04370","VEGF signaling pathway"
"534","AKT1","04380","Osteoclast differentiation"
"535","AKT1","04510","Focal adhesion"
"536","AKT1","04530","Tight junction"
"537","AKT1","04620","Toll-like receptor signaling pathway"
"538","AKT1","04630","JAK-STAT signaling pathway"
"539","AKT1","04660","T cell receptor signaling pathway"
"540","AKT1","04662","B cell receptor signaling pathway"
"541","AKT1","04664","Fc epsilon RI signaling pathway"
"542","AKT1","04666","Fc gamma R-mediated phagocytosis"
"543","AKT1","04722","Neurotrophin signaling pathway"
"544","AKT1","04910","Insulin signaling pathway"
"545","AKT1","04914","Progesterone-mediated oocyte maturation"
"546","AKT1","04920","Adipocytokine signaling pathway"
"547","AKT1","04973","Carbohydrate digestion and absorption"
"548","AKT1","05142","Chagas disease"
"549","AKT1","05145","Toxoplasmosis"
"550","AKT1","05160","Hepatitis C"
"551","AKT1","05200","Pathways in cancer"
"552","AKT1","05210","Colorectal cancer"
"553","AKT1","05211","Renal cell carcinoma"
"554","AKT1","05212","Pancreatic cancer"
"555","AKT1","05213","Endometrial cancer"
"556","AKT1","05214","Glioma"
"557","AKT1","05215","Prostate cancer"
"558","AKT1","05218","Melanoma"
"559","AKT1","05220","Chronic myeloid leukemia"
"560","AKT1","05221","Acute myeloid leukemia"
"561","AKT1","05222","Small cell lung cancer"
"562","AKT1","05223","Non-small cell lung cancer"
"563","AKT2","04010","MAPK signaling pathway"
"564","AKT2","04012","ErbB signaling pathway"
"565","AKT2","04062","Chemokine signaling pathway"
"566","AKT2","04150","mTOR signaling pathway"
"567","AKT2","04210","Apoptosis"
"568","AKT2","04370","VEGF signaling pathway"
"569","AKT2","04380","Osteoclast differentiation"
"570","AKT2","04510","Focal adhesion"
"571","AKT2","04530","Tight junction"
"572","AKT2","04620","Toll-like receptor signaling pathway"
"573","AKT2","04630","JAK-STAT signaling pathway"
"574","AKT2","04660","T cell receptor signaling pathway"
"575","AKT2","04662","B cell receptor signaling pathway"
"576","AKT2","04664","Fc epsilon RI signaling pathway"
"577","AKT2","04666","Fc gamma R-mediated phagocytosis"
"578","AKT2","04722","Neurotrophin signaling pathway"
"579","AKT2","04910","Insulin signaling pathway"
"580","AKT2","04914","Progesterone-mediated oocyte maturation"
"581","AKT2","04920","Adipocytokine signaling pathway"
"582","AKT2","04973","Carbohydrate digestion and absorption"
"583","AKT2","05142","Chagas disease"
"584","AKT2","05145","Toxoplasmosis"
"585","AKT2","05160","Hepatitis C"
"586","AKT2","05200","Pathways in cancer"
"587","AKT2","05210","Colorectal cancer"
"588","AKT2","05211","Renal cell carcinoma"
"589","AKT2","05212","Pancreatic cancer"
"590","AKT2","05213","Endometrial cancer"
"591","AKT2","05214","Glioma"
"592","AKT2","05215","Prostate cancer"
"593","AKT2","05218","Melanoma"
"594","AKT2","05220","Chronic myeloid leukemia"
"595","AKT2","05221","Acute myeloid leukemia"
"596","AKT2","05222","Small cell lung cancer"
"597","AKT2","05223","Non-small cell lung cancer"
"598","ALAD","00860","Porphyrin metabolism"
"599","ALAD","01100","Metabolic pathways"
"600","ALAS1","00260","Glycine, serine and threonine metabolism"
"601","ALAS1","00860","Porphyrin metabolism"
"602","ALAS1","01100","Metabolic pathways"
"603","ALAS2","00260","Glycine, serine and threonine metabolism"
"604","ALAS2","00860","Porphyrin metabolism"
"605","ALAS2","01100","Metabolic pathways"
"607","ALCAM","04514","Cell adhesion molecules"
"608","ABCD1","02010","ABC transporters"
"609","ABCD1","04146","Peroxisome"
"610","ALDH1A1","00830","Retinol metabolism"
"611","ALDH1A1","01100","Metabolic pathways"
"612","ALDH2","00010","Glycolysis / Gluconeogenesis"
"613","ALDH2","00040","Pentose and glucuronate interconversions"
"614","ALDH2","00053","Ascorbate and aldarate metabolism"
"615","ALDH2","00071","Fatty acid degradation"
"616","ALDH2","00280","Valine, leucine and isoleucine degradation"
"617","ALDH2","00310","Lysine degradation"
"618","ALDH2","00330","Arginine and proline metabolism"
"619","ALDH2","00340","Histidine metabolism"
"620","ALDH2","00380","Tryptophan metabolism"
"621","ALDH2","00410","beta-Alanine metabolism"
"622","ALDH2","00561","Glycerolipid metabolism"
"623","ALDH2","00620","Pyruvate metabolism"
"624","ALDH2","00640","Propanoate metabolism"
"625","ALDH2","01100","Metabolic pathways"
"626","ALDH3A1","00010","Glycolysis / Gluconeogenesis"
"627","ALDH3A1","00340","Histidine metabolism"
"628","ALDH3A1","00350","Tyrosine metabolism"
"629","ALDH3A1","00360","Phenylalanine metabolism"
"630","ALDH3A1","00980","Metabolism of xenobiotics by cytochrome P450"
"631","ALDH3A1","00982","Drug metabolism - cytochrome P450"
"632","ALDH3A1","01100","Metabolic pathways"
"633","ALDH1B1","00010","Glycolysis / Gluconeogenesis"
"634","ALDH1B1","00040","Pentose and glucuronate interconversions"
"635","ALDH1B1","00053","Ascorbate and aldarate metabolism"
"636","ALDH1B1","00071","Fatty acid degradation"
"637","ALDH1B1","00280","Valine, leucine and isoleucine degradation"
"638","ALDH1B1","00310","Lysine degradation"
"639","ALDH1B1","00330","Arginine and proline metabolism"
"640","ALDH1B1","00340","Histidine metabolism"
"641","ALDH1B1","00380","Tryptophan metabolism"
"642","ALDH1B1","00410","beta-Alanine metabolism"
"643","ALDH1B1","00561","Glycerolipid metabolism"
